mac_address,vendor,time,LAT,LON,
da:a1:19:f1:39:70,Google, Inc,1551165720000,46.52281703534049,24.59837769951925,
e6:47:81:75:a0:fc,,1551167156000,46.522806993955086,24.598483644120844,
da:a1:19:b4:9d:c4,Google, Inc,1551167877000,46.52281718838333,24.598537693825275,
da:a1:19:ac:29:4a,Google, Inc,1551166210000,46.522806993955086,24.598483644120844,
da:a1:19:fe:a6:c8,Google, Inc,1551166211000,46.52278855357464,24.59851000008866,
da:a1:19:0a:33:26,Google, Inc,1551164788000,46.52283110184169,24.598519075816235,
da:a1:19:66:fc:2e,Google, Inc,1551167799000,46.522817070130856,24.598537635314937,
da:a1:19:a3:46:b4,Google, Inc,1551167023000,46.522787318415105,24.598509388942016,
ae:58:b9:57:7d:3d,,1551166640000,46.52281718838333,24.598537693825275,
da:a1:19:94:c7:f1,Google, Inc,1551167809000,46.522806993955086,24.598483644120844,
da:a1:19:f5:0c:81,Google, Inc,1551167327000,46.522820907413454,24.598465026111807,
02:71:0b:7d:8f:6c,,1551167881000,46.52275448335726,24.598334339061786,
da:a1:19:e8:f0:45,Google, Inc,1551167882000,46.522806993955086,24.598483644120844,
da:a1:19:ae:f8:44,Google, Inc,1551166311000,46.52278731819959,24.59850938883538,
da:a1:19:cc:30:48,Google, Inc,1551165969000,46.52282109293086,24.598465117904272,